2021-11-07 06:25:54.181598: I tensorflow/stream_executor/platform/default/dso_loader.cc:49] Successfully opened dynamic library libcublas.so.10
Episode: 305, Reward: 47.820, Avg Reward :0.857, Epsilon:0.2157
Episode: 306, Reward: 11.785, Avg Reward :1.425, Epsilon:0.2146
Episode: 307, Reward: -32.204, Avg Reward :1.108, Epsilon:0.2136
Episode: 308, Reward: -24.871, Avg Reward :1.098, Epsilon:0.2125
Episode: 309, Reward: -31.785, Avg Reward :1.340, Epsilon:0.2114
Episode: 310, Reward: 1.701, Avg Reward :2.236, Epsilon:0.2104
Episode: 311, Reward: -33.504, Avg Reward :0.104, Epsilon:0.2093
Episode: 312, Reward: 44.482, Avg Reward :1.417, Epsilon:0.2083
Episode: 313, Reward: -2.426, Avg Reward :2.537, Epsilon:0.2072
Episode: 314, Reward: 103.021, Avg Reward :4.323, Epsilon:0.2062
Episode: 315, Reward: 101.995, Avg Reward :6.571, Epsilon:0.2052
Episode: 316, Reward: -19.887, Avg Reward :6.547, Epsilon:0.2041
Episode: 317, Reward: 85.867, Avg Reward :6.949, Epsilon:0.2031
Episode: 318, Reward: 63.325, Avg Reward :7.765, Epsilon:0.2021
Episode: 319, Reward: 1.202, Avg Reward :9.342, Epsilon:0.2011
Episode: 320, Reward: 83.075, Avg Reward :10.196, Epsilon:0.2001
Episode: 321, Reward: 200.329, Avg Reward :11.916, Epsilon:0.1991
Episode: 322, Reward: 163.695, Avg Reward :13.833, Epsilon:0.1981
Episode: 323, Reward: 78.750, Avg Reward :14.254, Epsilon:0.1971
Episode: 324, Reward: 94.575, Avg Reward :16.494, Epsilon:0.1961
Episode: 325, Reward: 161.972, Avg Reward :18.544, Epsilon:0.1951
Episode: 326, Reward: 198.695, Avg Reward :20.366, Epsilon:0.1942
Episode: 327, Reward: 43.014, Avg Reward :20.802, Epsilon:0.1932
Episode: 328, Reward: 13.027, Avg Reward :20.953, Epsilon:0.1922
Episode: 329, Reward: 104.142, Avg Reward :21.943, Epsilon:0.1913
Episode: 330, Reward: 5.997, Avg Reward :22.449, Epsilon:0.1903
Episode: 331, Reward: 57.818, Avg Reward :22.810, Epsilon:0.1893
Episode: 332, Reward: 35.375, Avg Reward :23.731, Epsilon:0.1884
Episode: 333, Reward: 109.613, Avg Reward :24.987, Epsilon:0.1875
Episode: 334, Reward: 194.211, Avg Reward :26.794, Epsilon:0.1865
Episode: 335, Reward: 243.628, Avg Reward :29.379, Epsilon:0.1856
Episode: 336, Reward: 86.212, Avg Reward :29.991, Epsilon:0.1847
Episode: 337, Reward: 106.842, Avg Reward :32.414, Epsilon:0.1837
Episode: 338, Reward: 95.823, Avg Reward :33.350, Epsilon:0.1828
Episode: 339, Reward: 184.837, Avg Reward :35.518, Epsilon:0.1819
Episode: 340, Reward: 94.399, Avg Reward :36.718, Epsilon:0.1810
Episode: 341, Reward: 70.830, Avg Reward :37.484, Epsilon:0.1801
Episode: 342, Reward: 221.474, Avg Reward :38.824, Epsilon:0.1792
Episode: 343, Reward: 53.999, Avg Reward :39.452, Epsilon:0.1783
Episode: 344, Reward: 235.027, Avg Reward :43.441, Epsilon:0.1774
Episode: 345, Reward: 272.269, Avg Reward :46.114, Epsilon:0.1765
Episode: 346, Reward: 82.467, Avg Reward :46.845, Epsilon:0.1756
Episode: 347, Reward: 70.546, Avg Reward :47.374, Epsilon:0.1748
Episode: 348, Reward: 162.846, Avg Reward :48.707, Epsilon:0.1739
Episode: 349, Reward: 223.762, Avg Reward :50.758, Epsilon:0.1730
Episode: 350, Reward: 227.122, Avg Reward :52.349, Epsilon:0.1721
